att1,att2,att3,att4,att5,att10,att11,att13,att14,att15,att18,att20,att22,att25,att26,att33,att38,att43,att47,att48,att51,att56,att59,att61,att64,att65,att66,att68,att69,att71,att73,att75,att76,att78,att79,att80,att81,att82,att83,att85,att86,att93,att94,att97,att98,att100,att103,att104,att106,att107,att109,att111,att113,att114,att115,att117,att120,att121,att122,att123,att125,att127,att128,att130,att133,att135,att136,att137,att138,att144,att145,att149,att151,att152,att156,att157,att158,att159,att164,att166,att167,att168,att169,att170,att171,att173,att175,att180,att181,att182,att186,att187,att189,att191,att196,att197,att200,att203,att209,att212,class
135.0,149.0,693.0,626.0,596.0,5.0,3.0,198.0,416.0,716.0,942.0,22.0,12.0,212.0,442.0,24.0,534.0,31.0,15.0,7.0,773.0,32.0,14.0,189.0,803.0,1042.0,700.0,26.0,11.0,17.0,185.0,809.0,566.0,1012.0,8.0,30.0,34.0,9.0,17.0,247.0,295.0,27.0,16.0,352.0,358.0,551.0,17.0,7.0,9.0,9.0,338.0,655.0,973.0,721.0,27.0,20.0,12.0,249.0,283.0,505.0,895.0,24.0,29.0,12.0,211.0,740.0,647.0,686.0,713.0,13.0,231.0,736.0,14.0,6.0,12.0,231.0,349.0,686.0,23.0,8.0,17.0,7.0,225.0,347.0,651.0,978.0,18.0,10.0,363.0,293.0,603.0,24.0,8.0,12.0,688.0,588.0,8.0,12.0,593.0,36.0,1
76.0,92.0,612.0,650.0,622.0,1.0,3.0,267.0,409.0,667.0,995.0,21.0,12.0,335.0,483.0,21.0,541.0,27.0,17.0,9.0,692.0,31.0,16.0,332.0,787.0,1030.0,717.0,27.0,8.0,15.0,332.0,764.0,552.0,1065.0,8.0,29.0,31.0,11.0,15.0,344.0,354.0,24.0,16.0,383.0,351.0,583.0,21.0,8.0,11.0,11.0,385.0,580.0,975.0,736.0,25.0,17.0,10.0,336.0,362.0,458.0,891.0,24.0,30.0,6.0,268.0,665.0,683.0,672.0,750.0,11.0,284.0,724.0,10.0,9.0,12.0,324.0,452.0,653.0,22.0,12.0,15.0,7.0,324.0,452.0,596.0,958.0,16.0,12.0,428.0,414.0,604.0,24.0,11.0,14.0,706.0,616.0,7.0,14.0,631.0,35.0,1
145.0,121.0,583.0,661.0,655.0,3.0,1.0,304.0,472.0,642.0,1002.0,24.0,14.0,352.0,462.0,32.0,538.0,26.0,15.0,8.0,675.0,30.0,14.0,311.0,812.0,1135.0,812.0,24.0,19.0,13.0,311.0,755.0,585.0,1058.0,13.0,32.0,38.0,11.0,13.0,353.0,341.0,37.0,18.0,418.0,388.0,590.0,20.0,9.0,11.0,9.0,410.0,533.0,1058.0,811.0,30.0,12.0,11.0,343.0,393.0,415.0,978.0,29.0,31.0,10.0,217.0,618.0,676.0,749.0,773.0,12.0,297.0,817.0,9.0,8.0,7.0,343.0,441.0,632.0,25.0,10.0,13.0,2.0,343.0,445.0,587.0,1043.0,21.0,9.0,357.0,371.0,711.0,29.0,16.0,12.0,731.0,647.0,10.0,12.0,666.0,36.0,1
111.0,93.0,592.0,706.0,614.0,1.0,2.0,220.0,396.0,689.0,1000.0,23.0,12.0,320.0,462.0,16.0,510.0,26.0,12.0,9.0,690.0,31.0,13.0,295.0,827.0,1034.0,730.0,25.0,3.0,12.0,299.0,798.0,596.0,1070.0,9.0,31.0,24.0,9.0,12.0,303.0,337.0,21.0,16.0,332.0,312.0,645.0,20.0,8.0,9.0,12.0,404.0,540.0,985.0,729.0,26.0,12.0,10.0,315.0,343.0,462.0,899.0,25.0,30.0,8.0,287.0,625.0,727.0,682.0,761.0,11.0,257.0,740.0,9.0,7.0,12.0,303.0,413.0,681.0,24.0,10.0,12.0,7.0,323.0,411.0,614.0,982.0,17.0,12.0,433.0,377.0,597.0,25.0,18.0,13.0,768.0,608.0,9.0,13.0,589.0,37.0,1
108.0,164.0,593.0,669.0,624.0,4.0,3.0,247.0,431.0,660.0,1012.0,22.0,11.0,305.0,523.0,21.0,591.0,25.0,15.0,9.0,687.0,34.0,14.0,242.0,838.0,1062.0,758.0,28.0,8.0,17.0,252.0,771.0,597.0,1078.0,12.0,30.0,29.0,8.0,17.0,296.0,318.0,26.0,15.0,361.0,349.0,602.0,19.0,9.0,8.0,9.0,335.0,543.0,1009.0,747.0,29.0,15.0,10.0,282.0,346.0,433.0,927.0,28.0,31.0,11.0,246.0,628.0,688.0,710.0,781.0,11.0,252.0,768.0,8.0,6.0,14.0,298.0,408.0,652.0,23.0,9.0,17.0,9.0,288.0,412.0,605.0,1010.0,20.0,10.0,350.0,360.0,625.0,28.0,13.0,10.0,729.0,620.0,8.0,10.0,595.0,36.0,1
88.0,112.0,641.0,636.0,598.0,3.0,3.0,221.0,399.0,722.0,999.0,21.0,8.0,315.0,503.0,20.0,547.0,27.0,15.0,10.0,731.0,31.0,14.0,306.0,815.0,1048.0,715.0,27.0,7.0,17.0,304.0,821.0,570.0,1069.0,8.0,29.0,30.0,11.0,17.0,302.0,336.0,25.0,12.0,389.0,343.0,563.0,21.0,8.0,11.0,9.0,377.0,597.0,979.0,722.0,25.0,16.0,11.0,302.0,322.0,495.0,901.0,24.0,30.0,8.0,266.0,682.0,655.0,690.0,750.0,10.0,264.0,744.0,10.0,7.0,15.0,302.0,406.0,704.0,22.0,12.0,17.0,10.0,302.0,406.0,643.0,984.0,16.0,13.0,410.0,392.0,586.0,24.0,12.0,12.0,690.0,590.0,7.0,12.0,593.0,35.0,1
133.0,133.0,600.0,595.0,596.0,1.0,3.0,252.0,342.0,605.0,998.0,18.0,10.0,316.0,442.0,19.0,488.0,28.0,11.0,9.0,674.0,30.0,10.0,259.0,746.0,1072.0,740.0,30.0,6.0,13.0,267.0,716.0,519.0,1056.0,7.0,26.0,29.0,11.0,13.0,281.0,315.0,24.0,14.0,332.0,276.0,532.0,20.0,7.0,11.0,7.0,354.0,568.0,995.0,763.0,24.0,15.0,10.0,263.0,323.0,414.0,915.0,23.0,21.0,8.0,297.0,653.0,624.0,694.0,749.0,11.0,325.0,754.0,11.0,12.0,8.0,305.0,411.0,573.0,19.0,12.0,13.0,5.0,307.0,407.0,558.0,986.0,15.0,12.0,393.0,377.0,627.0,23.0,13.0,10.0,655.0,588.0,6.0,10.0,603.0,32.0,1
134.0,300.0,583.0,601.0,578.0,11.0,10.0,261.0,481.0,674.0,1018.0,22.0,12.0,315.0,469.0,24.0,587.0,26.0,18.0,11.0,677.0,32.0,17.0,244.0,780.0,1058.0,732.0,26.0,11.0,16.0,240.0,781.0,539.0,1088.0,9.0,30.0,34.0,9.0,14.0,294.0,306.0,27.0,16.0,333.0,451.0,532.0,20.0,9.0,11.0,8.0,331.0,533.0,981.0,761.0,26.0,20.0,8.0,292.0,288.0,457.0,901.0,25.0,31.0,18.0,282.0,618.0,640.0,672.0,769.0,9.0,238.0,740.0,9.0,8.0,20.0,302.0,322.0,678.0,23.0,8.0,20.0,15.0,304.0,326.0,599.0,966.0,17.0,8.0,332.0,310.0,621.0,25.0,8.0,7.0,661.0,570.0,8.0,7.0,591.0,36.0,1
174.0,192.0,602.0,701.0,586.0,5.0,4.0,173.0,411.0,645.0,996.0,23.0,12.0,201.0,467.0,17.0,531.0,26.0,16.0,10.0,682.0,33.0,15.0,154.0,792.0,1030.0,728.0,25.0,4.0,16.0,154.0,746.0,563.0,1064.0,9.0,31.0,27.0,9.0,16.0,220.0,262.0,20.0,16.0,315.0,331.0,654.0,20.0,8.0,9.0,8.0,325.0,564.0,955.0,751.0,26.0,13.0,9.0,220.0,298.0,430.0,873.0,25.0,30.0,12.0,250.0,649.0,734.0,644.0,757.0,10.0,242.0,712.0,9.0,7.0,13.0,226.0,340.0,631.0,24.0,8.0,18.0,8.0,232.0,336.0,578.0,938.0,17.0,7.0,352.0,306.0,617.0,25.0,15.0,9.0,761.0,584.0,9.0,9.0,615.0,35.0,1
91.0,89.0,587.0,700.0,633.0,6.0,1.0,232.0,424.0,674.0,1010.0,18.0,11.0,310.0,470.0,24.0,542.0,24.0,13.0,10.0,687.0,30.0,14.0,279.0,861.0,1093.0,768.0,30.0,11.0,15.0,275.0,783.0,630.0,1078.0,11.0,26.0,32.0,8.0,15.0,295.0,323.0,29.0,15.0,356.0,338.0,631.0,18.0,7.0,8.0,11.0,388.0,537.0,1030.0,749.0,28.0,16.0,9.0,315.0,345.0,451.0,948.0,27.0,25.0,13.0,265.0,622.0,721.0,731.0,789.0,10.0,253.0,781.0,7.0,6.0,7.0,303.0,413.0,668.0,19.0,9.0,15.0,6.0,309.0,417.0,605.0,1031.0,19.0,11.0,377.0,361.0,633.0,27.0,12.0,10.0,764.0,627.0,8.0,10.0,606.0,32.0,1
143.0,165.0,582.0,605.0,597.0,4.0,4.0,222.0,426.0,655.0,1011.0,20.0,13.0,264.0,436.0,20.0,524.0,29.0,16.0,9.0,666.0,32.0,15.0,199.0,768.0,1045.0,741.0,28.0,7.0,16.0,199.0,750.0,531.0,1079.0,6.0,28.0,28.0,10.0,16.0,259.0,295.0,25.0,17.0,314.0,342.0,542.0,19.0,5.0,10.0,10.0,338.0,544.0,984.0,742.0,25.0,14.0,10.0,255.0,275.0,432.0,908.0,22.0,27.0,11.0,265.0,629.0,632.0,697.0,772.0,11.0,267.0,749.0,12.0,8.0,16.0,263.0,335.0,637.0,21.0,9.0,18.0,11.0,263.0,337.0,574.0,991.0,16.0,8.0,361.0,279.0,612.0,22.0,14.0,9.0,667.0,589.0,6.0,9.0,584.0,34.0,1
99.0,145.0,633.0,650.0,554.0,7.0,7.0,240.0,388.0,730.0,967.0,20.0,10.0,306.0,480.0,26.0,544.0,28.0,17.0,10.0,729.0,30.0,16.0,279.0,839.0,1012.0,713.0,28.0,13.0,17.0,281.0,831.0,598.0,1035.0,11.0,28.0,32.0,9.0,17.0,301.0,287.0,31.0,14.0,334.0,334.0,577.0,20.0,7.0,9.0,9.0,344.0,585.0,951.0,712.0,30.0,16.0,9.0,305.0,305.0,509.0,867.0,27.0,27.0,14.0,301.0,670.0,661.0,660.0,730.0,10.0,301.0,700.0,11.0,12.0,13.0,299.0,357.0,728.0,21.0,10.0,21.0,8.0,297.0,357.0,651.0,956.0,21.0,11.0,387.0,383.0,590.0,27.0,12.0,10.0,710.0,550.0,6.0,10.0,531.0,34.0,1
88.0,102.0,643.0,590.0,608.0,2.0,6.0,297.0,403.0,696.0,1020.0,24.0,11.0,367.0,507.0,26.0,561.0,28.0,14.0,9.0,727.0,28.0,13.0,336.0,761.0,1052.0,730.0,24.0,13.0,16.0,336.0,797.0,516.0,1090.0,7.0,32.0,36.0,10.0,16.0,360.0,362.0,29.0,15.0,395.0,353.0,511.0,20.0,9.0,10.0,8.0,399.0,605.0,983.0,763.0,24.0,22.0,10.0,348.0,340.0,477.0,905.0,23.0,31.0,9.0,282.0,690.0,629.0,700.0,771.0,11.0,274.0,748.0,11.0,10.0,14.0,350.0,426.0,682.0,25.0,11.0,20.0,9.0,350.0,424.0,629.0,992.0,15.0,12.0,410.0,382.0,619.0,23.0,6.0,9.0,646.0,600.0,10.0,9.0,605.0,36.0,1
108.0,100.0,596.0,680.0,600.0,4.0,4.0,215.0,429.0,693.0,1007.0,20.0,15.0,295.0,435.0,20.0,497.0,27.0,14.0,9.0,684.0,30.0,15.0,282.0,815.0,1024.0,741.0,28.0,7.0,18.0,268.0,784.0,584.0,1075.0,8.0,28.0,30.0,12.0,18.0,290.0,330.0,23.0,19.0,321.0,359.0,617.0,21.0,7.0,12.0,10.0,397.0,556.0,971.0,744.0,25.0,16.0,10.0,334.0,298.0,478.0,887.0,24.0,29.0,11.0,282.0,641.0,709.0,672.0,770.0,11.0,230.0,728.0,10.0,8.0,10.0,288.0,382.0,691.0,21.0,11.0,18.0,5.0,300.0,386.0,600.0,970.0,16.0,12.0,414.0,318.0,618.0,24.0,12.0,11.0,740.0,594.0,6.0,11.0,579.0,34.0,1
101.0,137.0,629.0,606.0,632.0,3.0,3.0,340.0,468.0,700.0,1051.0,22.0,14.0,384.0,474.0,28.0,536.0,27.0,15.0,11.0,719.0,30.0,14.0,337.0,763.0,1094.0,797.0,26.0,15.0,15.0,337.0,799.0,532.0,1117.0,8.0,30.0,38.0,11.0,15.0,383.0,345.0,31.0,18.0,416.0,406.0,529.0,21.0,9.0,11.0,9.0,372.0,583.0,1025.0,798.0,27.0,24.0,8.0,349.0,363.0,475.0,947.0,24.0,31.0,10.0,261.0,668.0,633.0,734.0,822.0,9.0,311.0,786.0,10.0,10.0,14.0,373.0,433.0,688.0,23.0,10.0,17.0,9.0,367.0,433.0,631.0,1026.0,18.0,8.0,367.0,357.0,674.0,24.0,4.0,8.0,672.0,624.0,8.0,8.0,627.0,36.0,1
83.0,81.0,606.0,666.0,588.0,5.0,4.0,252.0,448.0,669.0,1000.0,21.0,14.0,326.0,444.0,18.0,510.0,25.0,14.0,12.0,698.0,31.0,13.0,287.0,783.0,1030.0,734.0,27.0,5.0,14.0,285.0,778.0,548.0,1070.0,12.0,29.0,28.0,11.0,16.0,309.0,329.0,21.0,18.0,338.0,348.0,605.0,19.0,8.0,11.0,10.0,384.0,558.0,957.0,783.0,29.0,14.0,9.0,321.0,337.0,442.0,877.0,28.0,30.0,12.0,289.0,643.0,699.0,660.0,751.0,8.0,251.0,716.0,8.0,9.0,13.0,311.0,413.0,651.0,22.0,10.0,16.0,8.0,317.0,415.0,610.0,958.0,20.0,11.0,403.0,351.0,645.0,28.0,14.0,7.0,726.0,580.0,7.0,7.0,601.0,35.0,1
85.0,253.0,564.0,611.0,580.0,7.0,8.0,232.0,540.0,671.0,1019.0,20.0,14.0,334.0,502.0,24.0,588.0,24.0,16.0,12.0,652.0,32.0,17.0,305.0,794.0,1046.0,729.0,28.0,11.0,18.0,299.0,758.0,549.0,1089.0,11.0,28.0,34.0,11.0,18.0,297.0,375.0,27.0,18.0,374.0,482.0,538.0,18.0,7.0,11.0,12.0,394.0,524.0,981.0,742.0,28.0,20.0,11.0,335.0,355.0,456.0,901.0,27.0,29.0,14.0,275.0,609.0,650.0,676.0,770.0,10.0,239.0,734.0,7.0,8.0,17.0,321.0,421.0,663.0,21.0,10.0,18.0,12.0,325.0,421.0,570.0,974.0,19.0,13.0,391.0,347.0,602.0,27.0,8.0,11.0,665.0,576.0,6.0,11.0,581.0,34.0,1
155.0,171.0,600.0,638.0,589.0,5.0,5.0,284.0,362.0,589.0,955.0,22.0,12.0,288.0,480.0,19.0,506.0,26.0,13.0,11.0,672.0,30.0,12.0,219.0,745.0,1023.0,691.0,26.0,6.0,17.0,245.0,698.0,510.0,1021.0,9.0,30.0,29.0,9.0,15.0,299.0,253.0,22.0,16.0,368.0,282.0,581.0,20.0,9.0,9.0,7.0,314.0,572.0,950.0,786.0,26.0,17.0,8.0,287.0,279.0,418.0,866.0,25.0,31.0,12.0,231.0,657.0,677.0,639.0,698.0,9.0,275.0,705.0,9.0,8.0,14.0,319.0,299.0,565.0,23.0,8.0,19.0,9.0,279.0,297.0,556.0,937.0,17.0,6.0,305.0,353.0,642.0,25.0,13.0,8.0,692.0,585.0,8.0,8.0,614.0,36.0,1
142.0,158.0,580.0,593.0,638.0,6.0,3.0,233.0,441.0,625.0,1038.0,21.0,11.0,293.0,489.0,24.0,601.0,25.0,13.0,10.0,674.0,33.0,12.0,244.0,770.0,1086.0,764.0,27.0,11.0,15.0,230.0,740.0,533.0,1108.0,10.0,29.0,34.0,8.0,15.0,282.0,332.0,27.0,15.0,319.0,363.0,516.0,19.0,6.0,8.0,9.0,387.0,536.0,1025.0,761.0,27.0,20.0,9.0,294.0,314.0,396.0,949.0,26.0,28.0,13.0,278.0,621.0,618.0,738.0,793.0,10.0,244.0,790.0,8.0,7.0,13.0,282.0,396.0,607.0,22.0,7.0,17.0,8.0,316.0,398.0,584.0,1032.0,18.0,9.0,382.0,324.0,633.0,26.0,8.0,8.0,651.0,630.0,7.0,8.0,623.0,35.0,1
109.0,191.0,562.0,637.0,620.0,5.0,7.0,276.0,438.0,677.0,987.0,21.0,10.0,362.0,512.0,24.0,574.0,26.0,19.0,13.0,664.0,29.0,18.0,353.0,842.0,1082.0,725.0,27.0,11.0,19.0,347.0,778.0,603.0,1055.0,13.0,29.0,32.0,11.0,19.0,357.0,329.0,29.0,14.0,396.0,378.0,560.0,20.0,8.0,11.0,9.0,404.0,508.0,1017.0,720.0,30.0,18.0,10.0,371.0,331.0,460.0,937.0,29.0,28.0,12.0,269.0,593.0,640.0,720.0,754.0,9.0,291.0,770.0,9.0,9.0,12.0,349.0,387.0,683.0,22.0,12.0,21.0,9.0,355.0,387.0,596.0,1018.0,21.0,12.0,393.0,423.0,596.0,29.0,10.0,12.0,699.0,614.0,7.0,12.0,613.0,35.0,1
90.0,116.0,662.0,616.0,594.0,4.0,2.0,203.0,441.0,651.0,970.0,23.0,13.0,275.0,433.0,23.0,483.0,32.0,14.0,9.0,724.0,31.0,13.0,284.0,761.0,1044.0,700.0,25.0,10.0,12.0,280.0,758.0,524.0,1032.0,3.0,31.0,33.0,10.0,12.0,288.0,340.0,26.0,17.0,363.0,365.0,549.0,18.0,8.0,10.0,12.0,395.0,640.0,967.0,773.0,20.0,19.0,10.0,316.0,316.0,486.0,887.0,19.0,30.0,11.0,264.0,725.0,653.0,662.0,713.0,11.0,228.0,726.0,13.0,7.0,8.0,270.0,400.0,615.0,24.0,9.0,12.0,5.0,270.0,400.0,608.0,958.0,11.0,12.0,414.0,334.0,627.0,19.0,9.0,13.0,672.0,588.0,9.0,13.0,611.0,37.0,1
120.0,118.0,597.0,639.0,586.0,2.0,3.0,223.0,381.0,610.0,978.0,24.0,11.0,303.0,413.0,18.0,473.0,28.0,13.0,9.0,669.0,28.0,12.0,234.0,734.0,1030.0,718.0,24.0,5.0,13.0,230.0,719.0,505.0,1038.0,7.0,32.0,28.0,8.0,13.0,248.0,280.0,21.0,15.0,319.0,301.0,582.0,20.0,9.0,8.0,9.0,319.0,569.0,953.0,767.0,24.0,14.0,10.0,258.0,286.0,415.0,873.0,23.0,29.0,9.0,298.0,654.0,674.0,658.0,721.0,11.0,284.0,714.0,11.0,12.0,10.0,292.0,376.0,582.0,25.0,9.0,13.0,5.0,294.0,374.0,559.0,952.0,15.0,10.0,344.0,334.0,629.0,23.0,14.0,8.0,693.0,576.0,10.0,8.0,599.0,34.0,1
134.0,126.0,614.0,640.0,625.0,4.0,1.0,233.0,413.0,651.0,1016.0,23.0,15.0,319.0,367.0,27.0,427.0,28.0,13.0,10.0,696.0,27.0,14.0,264.0,767.0,1041.0,754.0,25.0,14.0,13.0,260.0,754.0,540.0,1086.0,7.0,31.0,33.0,12.0,13.0,292.0,296.0,32.0,17.0,341.0,349.0,581.0,20.0,12.0,12.0,11.0,335.0,576.0,974.0,747.0,24.0,13.0,9.0,312.0,306.0,428.0,890.0,23.0,30.0,11.0,312.0,661.0,655.0,671.0,775.0,10.0,286.0,727.0,11.0,15.0,9.0,300.0,400.0,621.0,24.0,11.0,13.0,4.0,316.0,402.0,592.0,959.0,15.0,9.0,342.0,360.0,621.0,23.0,15.0,10.0,708.0,617.0,11.0,10.0,640.0,35.0,1
