age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
16.0,GERMAN,Male,12TH GRADE,3.24,No,600.0,231.0,5.0,Very Good,3.0,0.0,7.0,65.0,manuf,No,1
15.0,GERMAN,Female,12TH GRADE,5.45,No,505.0,130.0,5.0,Very Good,0.0,0.0,6.0,29.0,fin,Yes,1
19.0,GERMAN,Male,12TH GRADE,2.5,No,506.0,110.0,3.0,Very Good,0.0,0.0,17.0,41.0,busi,Yes,1
17.0,ITALIAN,Female,12TH GRADE,4.8,No,504.0,120.0,5.0,Very Good,0.0,0.0,7.0,92.0,fin,No,1
20.0,ITALIAN,Female,4TH YR COL,1.5,No,501.0,144.0,5.0,Very Good,0.0,0.0,8.0,85.0,fin,No,0
19.0,FRENCH,Female,2ND YR COL,3.46,No,506.0,170.0,5.0,Good,2.0,0.0,13.0,80.0,pub,No,1
17.0,FRENCH,Female,12TH GRADE,3.0,No,507.0,257.0,5.0,Very Good,2.0,1.0,10.0,31.0,pro,No,1
17.0,OTHER,Male,4TH YR COL,7.2,No,510.0,150.0,4.0,Very Good,0.0,0.0,10.0,98.0,retail,No,1
18.0,ENGLISH,Female,12TH GRADE,1.2,No,506.0,115.0,4.0,Very Good,0.0,0.0,7.0,43.0,fin,No,0
17.0,GERMAN,Male,1ST YR COL,3.7,No,510.0,220.0,5.0,Very Good,5.0,0.0,7.0,57.0,manuf,No,1
17.0,OTHER,Male,4TH YR COL,4.5,No,510.0,170.0,3.0,Good,0.0,0.0,7.0,80.0,manuf,No,1
18.0,PUERTORICAN,Female,1ST YR COL,3.5,No,501.0,116.0,5.0,Good,0.0,0.0,13.0,57.0,fin,No,1
20.0,GERMAN,Male,1ST YR COL,1.2,No,511.0,158.0,4.0,Very Good,2.0,0.0,7.0,82.0,construction,No,0
20.0,ITALIAN,Female,12TH GRADE,2.0,No,500.0,104.0,2.0,Very Good,0.0,0.0,7.0,42.0,transp,No,1
18.0,GERMAN,Female,1ST YR COL,2.0,No,506.0,120.0,5.0,Excellent,3.0,0.0,10.0,62.0,manuf,No,1
14.0,ENGLISH,Male,12TH GRADE,2.4,No,600.0,160.0,5.0,Excellent,0.0,0.0,8.0,48.0,manuf,No,1
19.0,GERMAN,Female,3RD YR COL,5.285,No,505.0,138.0,5.0,Excellent,0.0,0.0,11.0,78.0,wholesale,No,1
21.0,ITALIAN,Male,3RD YR COL,3.8,No,603.0,170.0,1.0,Very Good,0.0,0.0,3.0,65.0,busi,No,1
17.0,INDIAN,Female,6TH YR COL,0.0,No,503.0,118.0,4.0,Fair,0.0,0.0,8.0,73.0,pub,No,0
15.0,INDIAN,Male,6TH YR COL,5.0,No,507.0,142.0,4.0,Good,0.0,0.0,5.0,73.0,pro,No,1
15.0,ENGLISH,Female,4TH YR COL,2.5,No,501.0,110.0,4.0,Very Good,0.0,0.0,6.0,72.0,fin,Yes,1
21.0,FILIPINO,Male,4TH YR COL,6.1,No,508.0,155.0,4.0,Very Good,0.0,0.0,2.0,65.0,manuf,No,1
19.0,GERMAN,Male,6TH YR COL,8.35,No,600.0,160.0,4.0,Excellent,0.0,1.0,6.0,90.0,manuf,No,1
16.0,ITALIAN,Female,12TH GRADE,0.0,No,501.0,108.0,5.0,Excellent,0.0,0.0,20.0,15.0,fin,No,0
15.0,ENGLISH,Male,6TH YR COL,6.5,No,508.0,155.0,4.0,Good,2.0,0.0,4.0,63.0,personal,No,1
20.0,ITALIAN,Female,12TH GRADE,1.5,No,503.0,105.0,2.0,Good,0.0,0.0,3.0,24.0,busi,No,0
21.0,ITALIAN,Male,4TH YR COL,13.8775,No,511.0,165.0,4.0,Good,0.0,0.0,3.0,95.0,fin,No,1
15.0,ENGLISH,Female,4TH YR COL,3.7,No,506.0,118.0,5.0,Very Good,0.0,0.0,8.0,64.0,manuf,No,1
18.0,IRISH,Male,12TH GRADE,0.95,Yes,601.0,185.0,6.0,Very Good,0.0,0.0,6.0,64.0,manuf,No,0
16.0,IRISH,Male,4TH YR COL,0.0,No,511.0,155.0,6.0,Good,0.0,0.0,9.0,99.0,manuf,No,0
14.0,IRISH,Male,3RD YR COL,5.3,No,600.0,200.0,6.0,Excellent,2.0,0.0,9.0,54.0,retail,No,1
21.0,AMERICAN,Male,4TH YR COL,13.8775,Yes,507.0,150.0,2.0,Excellent,0.0,0.0,6.0,93.0,busi,No,1
19.0,GERMAN,Female,8TH YR COL OR MORE,6.9,No,504.0,110.0,4.0,Very Good,0.0,0.0,6.0,63.0,pro,No,1
17.0,GERMAN,Female,8TH YR COL OR MORE,8.0,No,507.0,110.0,4.0,Excellent,0.0,0.0,7.0,89.0,busi,No,1
17.0,BLACK,Male,9TH GRADE,0.0,No,505.0,165.0,11.0,Good,0.0,1.0,6.0,1.0,busi,No,0
21.0,BLACK,Female,12TH GRADE,0.24,No,503.0,135.0,3.0,Very Good,0.0,1.0,3.0,7.0,manuf,No,0
16.0,IRISH,Female,11TH GRADE,1.8,No,507.0,160.0,3.0,Very Good,0.0,0.0,31.0,38.0,fin,No,1
14.0,ITALIAN,Male,3RD YR COL,3.1,No,511.0,150.0,4.0,Excellent,0.0,0.0,6.0,29.0,fin,No,1
21.0,ITALIAN,Female,12TH GRADE,0.0,No,502.0,120.0,5.0,Very Good,0.0,0.0,4.0,42.0,pub,No,0
17.0,ITALIAN,Male,2ND YR COL,2.45,Yes,508.0,150.0,5.0,Very Good,0.0,0.0,5.0,55.0,agri,Yes,1
14.0,ENGLISH,Male,12TH GRADE,2.65,No,503.0,150.0,5.0,Very Good,0.0,0.0,7.0,19.0,construction,No,1
17.0,GERMAN,Male,12TH GRADE,2.2,No,509.0,260.0,3.0,Good,0.0,0.0,14.0,27.0,transp,No,1
15.0,GERMAN,Male,3RD YR COL,4.95,No,509.0,178.0,6.0,Excellent,0.0,0.0,5.0,62.0,pub,No,1
17.0,GERMAN,Female,1ST YR COL,2.5,No,505.0,135.0,4.0,Very Good,0.0,0.0,1.0,63.0,manuf,Yes,1
16.0,ENGLISH,Female,12TH GRADE,2.0,Yes,505.0,165.0,8.0,Good,0.0,0.0,11.0,46.0,retail,Yes,1
20.0,ENGLISH,Female,12TH GRADE,2.5,No,506.0,145.0,1.0,Excellent,0.0,0.0,16.0,35.0,pro,No,1
20.0,GERMAN,Male,12TH GRADE,4.1,No,600.0,215.0,1.0,Excellent,0.0,1.0,6.0,74.0,transp,No,1
21.0,ENGLISH,Female,12TH GRADE,1.6763,No,502.0,155.0,3.0,Good,0.0,0.0,9.0,79.0,pro,Yes,0
16.0,GERMAN,Female,2ND YR COL,1.5,No,504.0,100.0,5.0,Excellent,0.0,0.0,7.0,85.0,pro,No,0
20.0,ENGLISH,Male,7TH YR COL,4.3,No,510.0,145.0,6.0,Excellent,0.0,0.0,16.0,69.0,pro,No,1
17.0,ENGLISH,Male,12TH GRADE,1.8,No,600.0,160.0,6.0,Good,0.0,0.0,15.0,13.0,agri,No,1
16.0,GERMAN,Female,3RD YR COL,1.1,No,505.0,140.0,6.0,Good,0.0,0.0,4.0,39.0,retail,No,0
14.0,GERMAN,Male,11TH GRADE,1.33,No,507.0,175.0,4.0,Good,0.0,1.0,4.0,22.0,construction,No,0
17.0,POLISH,Female,12TH GRADE,2.5,Yes,505.0,120.0,2.0,Excellent,0.0,0.0,7.0,94.0,manuf,Yes,1
16.0,IRISH,Female,12TH GRADE,0.35,No,504.0,120.0,7.0,Very Good,0.0,0.0,4.0,42.0,retail,No,0
17.0,GERMAN,Female,12TH GRADE,0.73,No,504.0,120.0,5.0,Good,1.0,0.0,9.0,51.0,pro,No,0
21.0,GERMAN,Female,2ND YR COL,1.223,No,506.0,200.0,2.0,Very Good,0.0,0.0,13.0,81.0,retail,No,0
20.0,ENGLISH,Male,12TH GRADE,1.65,No,604.0,255.0,2.0,Very Good,0.0,1.0,8.0,69.0,retail,No,0
18.0,ENGLISH,Male,2ND YR COL,4.0,No,507.0,195.0,4.0,Excellent,0.0,0.0,3.0,88.0,manuf,No,1
16.0,GERMAN,Female,4TH YR COL,0.0,No,509.0,140.0,4.0,Very Good,0.0,0.0,9.0,95.0,pro,No,0
20.0,GERMAN,Male,12TH GRADE,2.2,No,507.0,160.0,3.0,Fair,0.0,1.0,12.0,54.0,construction,No,1
19.0,GERMAN,Male,4TH YR COL,13.8775,No,510.0,135.0,2.0,Very Good,0.0,0.0,6.0,87.0,pro,No,1
19.0,GERMAN,Male,3RD YR COL,5.0,No,511.0,176.0,3.0,Very Good,0.0,0.0,7.0,70.0,personal,No,1
18.0,IRISH,Male,1ST YR COL,3.7,No,604.0,205.0,5.0,Fair,0.0,0.0,14.0,84.0,transp,No,1
19.0,POLISH,Male,12TH GRADE,1.8,No,510.0,135.0,5.0,Very Good,0.0,0.0,9.0,33.0,personal,Yes,1
18.0,GREEK,Female,1ST YR COL,0.6,No,503.0,120.0,5.0,Very Good,0.0,0.0,5.0,44.0,retail,Yes,0
16.0,IRISH,Male,12TH GRADE,4.25,No,600.0,210.0,4.0,Good,0.0,0.0,3.0,51.0,retail,No,1
17.0,ENGLISH,Male,6TH YR COL,6.5,No,602.0,195.0,6.0,Excellent,2.0,0.0,6.0,81.0,transp,Yes,1
15.0,ENGLISH,Female,4TH YR COL,0.5,No,504.0,130.0,6.0,Good,1.0,0.0,10.0,79.0,transp,Yes,0
20.0,PUERTORICAN,Male,12TH GRADE,4.0,No,509.0,182.0,9.0,Excellent,0.0,0.0,7.0,22.0,pub,No,1
19.0,PUERTORICAN,Male,12TH GRADE,3.6,No,505.0,140.0,9.0,Very Good,0.0,0.0,6.0,44.0,busi,No,1
17.0,PUERTORICAN,Female,10TH GRADE,2.5,No,500.0,137.0,9.0,Very Good,0.0,0.0,3.0,13.0,retail,Yes,1
14.0,PUERTORICAN,Female,3RD YR COL,2.4,No,502.0,125.0,7.0,Very Good,0.0,0.0,5.0,51.0,pro,No,1
20.0,ENGLISH,Female,12TH GRADE,2.1,No,509.0,160.0,6.0,Excellent,0.0,0.0,9.0,31.0,manuf,No,1
20.0,BLACK,Male,12TH GRADE,0.1,No,602.0,225.0,4.0,Very Good,1.0,1.0,7.0,48.0,retail,No,0
22.0,ENGLISH,Female,6TH YR COL,0.02,No,505.0,115.0,4.0,Excellent,0.0,0.0,8.0,89.0,pro,No,0
19.0,ENGLISH,Female,1ST YR COL,0.15,No,503.0,131.0,4.0,Good,0.0,0.0,9.0,94.0,busi,No,0
21.0,FRENCH,Female,12TH GRADE,1.59,No,502.0,175.0,3.0,Excellent,0.0,0.0,6.0,69.0,busi,No,0
17.0,PUERTORICAN,Male,12TH GRADE,3.0,No,507.0,132.0,7.0,Very Good,0.0,0.0,3.0,22.0,busi,No,1
19.0,PUERTORICAN,Male,12TH GRADE,1.5,No,501.0,120.0,7.0,Good,0.0,0.0,6.0,6.0,busi,No,0
15.0,PUERTORICAN,Male,12TH GRADE,2.8,No,503.0,110.0,7.0,Excellent,0.0,0.0,4.0,5.0,manuf,No,1
19.0,BLACK,Male,1ST YR COL,2.35,No,510.0,173.0,2.0,Good,0.0,0.0,10.0,24.0,pro,Yes,1
21.0,FRENCH,Female,12TH GRADE,2.9,No,503.0,100.0,5.0,Very Good,0.0,0.0,1.0,53.0,busi,Yes,1
18.0,IRISH,Male,12TH GRADE,2.0,Yes,508.0,150.0,7.0,Very Good,0.0,0.0,2.0,18.0,construction,No,1
14.0,ENGLISH,Male,12TH GRADE,3.5,No,509.0,155.0,7.0,Good,0.0,0.0,2.0,15.0,construction,No,1
15.0,IRISH,Male,12TH GRADE,1.0,No,507.0,130.0,5.0,Good,3.0,0.0,10.0,12.0,retail,No,0
19.0,GERMAN,Male,4TH YR COL,2.295,No,601.0,170.0,4.0,Very Good,0.0,0.0,4.0,84.0,agri,No,1
22.0,GERMAN,Female,5TH YR COL,8.1,Yes,504.0,120.0,2.0,Very Good,0.0,0.0,8.0,66.0,pro,Yes,1
21.0,GERMAN,Female,4TH YR COL,3.8,No,507.0,140.0,5.0,Excellent,0.0,0.0,4.0,81.0,pro,Yes,1
20.0,ENGLISH,Female,4TH YR COL,3.0,No,509.0,140.0,4.0,Excellent,0.0,0.0,6.0,92.0,retail,No,1
17.0,PUERTORICAN,Male,9TH GRADE,0.0,No,503.0,130.0,5.0,Poor,0.0,1.0,6.0,2.0,retail,No,0
15.0,PUERTORICAN,Male,9TH GRADE,1.3,No,509.0,165.0,5.0,Very Good,3.0,1.0,7.0,27.0,manuf,Yes,0
22.0,BLACK,Female,12TH GRADE,3.1,No,508.0,149.0,2.0,Very Good,0.0,0.0,2.0,42.0,pub,No,1
20.0,BLACK,Male,10TH GRADE,1.0,No,511.0,185.0,6.0,Fair,0.0,1.0,7.0,1.0,personal,No,0
19.0,BLACK,Female,12TH GRADE,2.6,No,503.0,125.0,8.0,Very Good,0.0,0.0,3.0,20.0,pro,Yes,1
16.0,BLACK,Female,12TH GRADE,0.2244,No,503.0,100.0,8.0,Excellent,0.0,0.0,5.0,14.0,pro,No,0
16.0,GERMAN,Male,4TH YR COL,5.4,No,511.0,160.0,5.0,Very Good,0.0,0.0,5.0,96.0,manuf,No,1
20.0,BLACK,Female,1ST YR COL,2.0,No,500.0,128.0,2.0,Very Good,0.0,0.0,8.0,1.0,pro,No,1
19.0,ENGLISH,Female,4TH YR COL,0.0,No,503.0,110.0,3.0,Good,2.0,0.0,13.0,95.0,manuf,No,0
17.0,ITALIAN,Male,4TH YR COL,6.0,Yes,509.0,160.0,5.0,Excellent,4.0,0.0,19.0,37.0,personal,No,1
21.0,ITALIAN,Male,12TH GRADE,0.0,No,508.0,178.0,7.0,Excellent,6.0,0.0,6.0,56.0,construction,No,0
16.0,ITALIAN,Male,5TH YR COL,3.8,No,509.0,175.0,7.0,Good,0.0,0.0,12.0,46.0,construction,No,1
19.0,FRENCH,Male,12TH GRADE,13.8775,No,601.0,170.0,4.0,Very Good,3.0,0.0,10.0,24.0,pro,Yes,1
17.0,FRENCH,Female,12TH GRADE,3.5,No,504.0,225.0,4.0,Fair,0.0,0.0,3.0,45.0,fin,No,1
22.0,IRISH,Female,12TH GRADE,0.0,No,504.0,120.0,6.0,Good,0.0,0.0,2.0,71.0,fin,No,0
14.0,IRISH,Male,12TH GRADE,7.0,No,502.0,158.0,6.0,Very Good,5.0,0.0,11.0,42.0,transp,Yes,1
16.0,ENGLISH,Male,11TH GRADE,4.8,No,507.0,147.0,5.0,Very Good,0.0,0.0,16.0,43.0,transp,No,1
21.0,IRISH,Male,4TH YR COL,5.7,No,508.0,180.0,5.0,Very Good,3.0,0.0,13.0,59.0,retail,No,1
17.0,IRISH,Male,4TH YR COL,5.3,No,600.0,205.0,6.0,Very Good,0.0,0.0,9.0,32.0,pub,No,1
16.0,ENGLISH,Female,4TH YR COL,4.3,No,502.0,120.0,6.0,Very Good,1.0,1.0,10.0,32.0,retail,No,1
17.0,ENGLISH,Female,7TH YR COL,0.0,No,502.0,98.0,5.0,Very Good,0.0,0.0,13.0,87.0,pro,No,0
21.0,ENGLISH,Male,12TH GRADE,0.0575,No,511.0,135.0,5.0,Fair,1.0,1.0,6.0,25.0,manuf,No,0
17.0,ENGLISH,Female,12TH GRADE,0.0,Yes,505.0,107.0,5.0,Poor,0.0,0.0,15.0,31.0,retail,No,0
19.0,IRISH,Male,4TH YR COL,5.1,No,602.0,210.0,11.0,Very Good,3.0,0.0,8.0,88.0,wholesale,Yes,1
19.0,GERMAN,Female,4TH YR COL,2.7,No,509.0,170.0,3.0,Very Good,0.0,0.0,9.0,80.0,manuf,No,1
20.0,ENGLISH,Female,4TH YR COL,2.1,No,505.0,125.0,4.0,Very Good,0.0,0.0,5.0,94.0,fin,No,1
19.0,ENGLISH,Female,4TH YR COL,1.5,No,507.0,138.0,4.0,Very Good,0.0,0.0,9.0,92.0,busi,No,0
22.0,AMERICAN,Male,11TH GRADE,1.6,No,600.0,175.0,4.0,Good,0.0,0.0,10.0,10.0,retail,No,0
21.0,BLACK,Male,12TH GRADE,4.5,Yes,601.0,160.0,6.0,Very Good,0.0,0.0,6.0,58.0,pro,No,1
18.0,BLACK,Female,12TH GRADE,3.0,No,502.0,107.0,7.0,Very Good,0.0,0.0,7.0,35.0,fin,No,1
17.0,BLACK,Female,12TH GRADE,3.1,No,506.0,110.0,7.0,Very Good,0.0,0.0,2.0,52.0,pub,No,1
15.0,BLACK,Male,12TH GRADE,0.0,No,602.0,150.0,7.0,Very Good,0.0,0.0,8.0,1.0,manuf,No,0
16.0,BLACK,Female,3RD YR COL,5.9,No,500.0,190.0,7.0,Good,0.0,0.0,9.0,71.0,pro,No,1
19.0,ENGLISH,Male,12TH GRADE,4.6,Yes,600.0,215.0,4.0,Good,0.0,0.0,1.0,90.0,manuf,No,1
16.0,FRENCH,Male,12TH GRADE,4.4,No,600.0,190.0,4.0,Very Good,0.0,0.0,3.0,80.0,manuf,No,1
17.0,BLACK,Male,11TH GRADE,0.045,No,511.0,175.0,7.0,Fair,0.0,0.0,7.0,5.0,busi,No,0
15.0,BLACK,Male,12TH GRADE,0.5,No,603.0,175.0,3.0,Excellent,2.0,0.0,7.0,12.0,retail,No,0
17.0,GERMAN,Female,4TH YR COL,5.6,No,505.0,130.0,5.0,Very Good,0.0,0.0,6.0,99.0,manuf,No,1
17.0,ENGLISH,Female,12TH GRADE,1.7,No,411.0,110.0,4.0,Very Good,0.0,1.0,9.0,24.0,retail,No,0
21.0,GERMAN,Female,12TH GRADE,0.0,No,506.0,130.0,2.0,Very Good,0.0,0.0,1.0,29.0,retail,No,0
22.0,ENGLISH,Male,7TH GRADE,0.0,No,602.0,195.0,1.0,Fair,0.0,0.0,9.0,6.0,pro,No,0
19.0,ENGLISH,Female,1ST YR COL,0.5,No,500.0,110.0,5.0,Very Good,0.0,0.0,3.0,22.0,retail,No,0
15.0,ENGLISH,Male,1ST YR COL,0.5,No,505.0,130.0,5.0,Very Good,0.0,0.0,2.0,33.0,manuf,No,0
16.0,GERMAN,Female,4TH YR COL,3.2,No,505.0,122.0,4.0,Excellent,0.0,0.0,9.0,40.0,pub,No,1
18.0,ENGLISH,Male,12TH GRADE,6.1,No,601.0,220.0,4.0,Very Good,1.0,0.0,5.0,79.0,manuf,No,1
21.0,ENGLISH,Male,4TH YR COL,7.3,No,511.0,165.0,1.0,Excellent,0.0,0.0,16.0,92.0,pro,No,1
18.0,GERMAN,Male,12TH GRADE,1.1663,No,511.0,195.0,1.0,Fair,3.0,0.0,3.0,64.0,manuf,No,0
16.0,ENGLISH,Male,12TH GRADE,1.15,Yes,511.0,182.0,5.0,Good,1.0,0.0,15.0,17.0,construction,Yes,0
