AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,month,day
0.99,37007797.69,13173668.36,11398142.68,896761.77,11539224.88,8945888.88,2405733.76,187602.24,conventional,2017,TotalUS,2,26
0.95,27297983.67,9626901.09,10197890.05,1184340.09,6288852.44,4850404.09,1252626.31,185822.04,conventional,2015,TotalUS,12,27
1.15,33819909.09,12197105.36,10731379.56,754548.53,10136875.64,8386276.39,1569550.49,181048.76,conventional,2016,TotalUS,8,7
1.21,34785712.55,12091315.22,10821096.24,647969.03,11225332.06,8946792.83,2098142.94,180396.29,conventional,2017,TotalUS,4,9
0.94,40019075.24,13682611.21,13829591.06,1583495.93,10923377.04,8085657.41,2657598.78,180120.85,conventional,2016,TotalUS,5,29
1.56,26385081.36,9496485.27,8373234.08,487926.52,8027435.49,6035666.24,1818832.48,172936.77,conventional,2017,TotalUS,9,10
1.18,35729013.92,12236713.41,10224484.11,613507.38,12654309.02,9051466.83,3434846.78,167995.41,conventional,2017,TotalUS,4,23
0.95,32787079.21,7020459,14054367.5,1440380.36,10271872.35,7438489.6,2668368.01,165014.74,conventional,2016,TotalUS,1,24
1.09,33993931.31,12561055.5,10420973,563738.54,10448164.27,8503870.88,1785021.92,159271.47,conventional,2016,TotalUS,8,28
0.86,38142088.04,11616506.17,16054083.86,1560068.62,8911429.39,6464895.83,2287449.76,159083.8,conventional,2016,TotalUS,1,3
1.22,32020573.94,11228357.23,9575227.17,727233.05,10489756.49,8207585.25,2124294.41,157876.83,conventional,2017,TotalUS,3,12
1.25,31595125.23,10975689.78,9622711.73,638217.85,10358505.87,8202242.37,2000176.08,156087.42,conventional,2017,TotalUS,3,19
1.1,33592097.72,12725249.3,9906498.51,609720.87,10350629.04,8749239.27,1446381.11,155008.66,conventional,2016,TotalUS,8,21
1.13,36703156.72,13730992.75,10781339.21,677714.86,11513109.9,8231766.23,3130919.1,150424.57,conventional,2018,TotalUS,1,7
1.21,34468017.36,12245520.55,9733584.68,624709.69,11864202.44,9385516.28,2330300.27,148385.89,conventional,2017,TotalUS,4,2
0.99,33905854.58,11321732.4,10351148.2,832906.12,11400067.86,8676989.56,2576166.71,146911.59,conventional,2017,TotalUS,2,19
0.89,39914996.74,12447598.49,14437190.03,1753852.61,11276355.61,7987028.55,3143280.05,146047.01,conventional,2016,TotalUS,5,15
0.87,41077470.65,15051951.54,12184188.37,862322.15,12979008.59,9922489.84,2919324.45,137194.3,conventional,2017,TotalUS,2,12
1.07,30757767.03,10704214.26,9934618.43,574089.32,9544845.02,7149680.01,2260602.86,134562.15,conventional,2017,TotalUS,12,17
1.2,37299945.22,12600918.24,11866197.84,652808.4,12180020.74,8128241.88,3917569.95,134208.91,conventional,2018,TotalUS,1,14
1.09,40171640.84,14551799.5,12119884.61,575974.74,12923981.99,9749412.19,3041125.42,133444.38,conventional,2018,TotalUS,1,28
0.81,7094764.73,1410647.88,2875747.93,667141.61,2141227.31,1436877.51,573049.04,131300.76,conventional,2018,GreatLakes,2,4
0.92,4065583.41,604697.28,2200074.78,543717.88,717093.47,438279.98,147920.69,130892.8,conventional,2016,GreatLakes,1,3
0.9,37467885.19,11954487.56,12896366.58,1896149.5,10720881.55,8128710.21,2467001.94,125169.4,conventional,2016,TotalUS,4,17
0.98,38267341.61,13109617.49,13197460.59,644837.54,11315425.99,8092355.2,3098373.91,124696.88,conventional,2017,TotalUS,12,31
0.82,46324529.7,14223304.98,17896391.6,1993645.36,12211187.76,8747756.84,3342780.83,120650.09,conventional,2016,TotalUS,5,8
1.13,33684175.01,11335275.58,10807889.59,795173.2,10745836.64,8302600.77,2322677.19,120558.68,conventional,2017,TotalUS,3,5
0.96,39373579.25,14034075.77,11683464.54,818727.02,12837311.92,9918255.52,2799960.74,119095.66,conventional,2017,TotalUS,1,29
1.18,29102349.33,10027319.18,8964247.34,546373.81,9564409,7222270.69,2226794.39,115343.92,conventional,2017,TotalUS,12,24
0.77,61034457.1,22743616.17,20328161.55,1664383.09,16298296.29,12567155.58,3618270.75,112869.96,conventional,2017,TotalUS,2,5
1.12,34386177.3,12352932.68,10879341.61,749247.02,10404655.99,8479506.83,1813210.6,111938.56,conventional,2016,TotalUS,8,14
0.85,4865296.26,652666.36,2644419.02,704466.56,863744.32,516542.03,238503.11,108699.18,conventional,2016,GreatLakes,2,7
0.81,4565207.85,2166801.03,1226508.86,412828.75,759069.21,555356.92,95639.5,108072.79,conventional,2015,SouthCentral,12,20
1.09,33824253,11746980,10905968,583801,10587491,7730801,2748622,108068,conventional,2017,TotalUS,12,3
0.91,6494533.3,3114586.75,1226469.49,522836.75,1630640.31,1398829.45,124715.63,107095.23,conventional,2016,SouthCentral,7,3
0.95,35064506.04,11824154.63,12196587.24,1686475.33,9357288.84,7502570.03,1747903.69,106815.12,conventional,2016,TotalUS,3,6
1.13,4020724.58,574425.88,1781703.48,367119.34,1297475.88,930189.98,261535.63,105750.27,conventional,2016,GreatLakes,7,3
0.79,5850128.4,3003442.75,1462783.11,521213.33,862689.21,623663.62,133279.26,105746.33,conventional,2016,SouthCentral,1,31
1.03,35634913.01,11943914.54,11659897.51,398348.55,11632752.41,8404955.25,3122650.26,105146.9,conventional,2017,TotalUS,12,10
1.24,3327062.2,478536.66,1500516.86,328564.87,1019443.81,686496.96,228290.63,104656.22,conventional,2016,GreatLakes,7,10
1.08,4824586.17,939693.95,1678615.71,599358.14,1606918.37,1091946.07,411120.89,103851.41,conventional,2018,GreatLakes,1,21
1.19,3920643.53,663042.81,1184034.99,408305.47,1665260.26,1129063.14,433394.02,102803.1,conventional,2018,GreatLakes,2,25
1.18,4245947.2,860997.47,1144066.23,459002.28,1781881.22,1397088.59,282886.2,101906.43,conventional,2018,GreatLakes,3,25
1.1,3955098.89,608467.47,1766243.34,431784.45,1148603.63,804836.17,242409.56,101357.9,conventional,2016,GreatLakes,6,19
1.08,3848715.52,565282.75,1692494.9,368973.25,1221964.62,756489.66,369884.9,95590.06,conventional,2017,GreatLakes,2,26
1.17,29253484,11173132,7847059,416186,9817108,6662322,3059627,95159,conventional,2017,TotalUS,11,19
1.25,3267857.63,429390.43,1441657.56,291136.56,1105673.08,754051.14,256758.81,94863.13,conventional,2016,GreatLakes,7,17
0.7,7606351.8,3823016,1930304.29,804558.25,1048473.26,756322.54,197394.7,94756.02,conventional,2016,SouthCentral,2,7
1.32,3212818.19,457452.9,1381175.94,293304.81,1080884.54,743699.41,242488.33,94696.8,conventional,2016,GreatLakes,7,24
0.96,29583882.61,9394065.91,10339168.2,427872.42,9422776.08,6970320.34,2358443.96,94011.78,conventional,2016,TotalUS,12,18
1.04,37130688.91,14643465.52,11083513.46,540680.89,10863029.04,8555283.68,2214419.29,93326.07,conventional,2016,TotalUS,9,4
1.32,3491991.63,1930025.72,485914.34,4529.63,1071521.94,636669.38,342065.06,92787.5,conventional,2017,Southeast,7,9
1.33,3979264.02,2219034.51,549006.94,4778.63,1206443.94,676830.5,437058.12,92555.32,conventional,2017,Southeast,7,2
1.34,24753513.95,7579629.06,8104522.26,452383.96,8616978.67,6508666.81,2016513.03,91798.83,conventional,2016,TotalUS,10,23
1.22,30305112.89,10548061.13,9255913.78,492604.3,10008533.68,7440444.59,2476400.79,91688.3,conventional,2016,TotalUS,9,25
1.35,3404457.77,1995540.97,416295.25,3535.91,989085.64,546899.52,350819.45,91366.67,conventional,2017,Southeast,6,18
1.24,24686675,9175316,7312239,379637,7819483,5571801,2156887,90795,conventional,2017,TotalUS,11,26
1.15,32336225,11512837,9994648,416643,10412097,7277327,3044847,89923,conventional,2017,TotalUS,11,12
1.13,3643417.33,609218.12,1609911.48,376048.28,1048239.45,778315.95,180042.48,89881.02,conventional,2016,GreatLakes,6,26
1.38,3372297.92,613737.91,1337473.31,342667.93,1078418.77,686341.95,302794.91,89281.91,conventional,2017,GreatLakes,7,16
1.01,4188245.99,467971.13,2147776.06,487106.11,1085392.69,776263.67,220019.19,89109.83,conventional,2016,GreatLakes,6,5
1.19,32051594.24,11042128.27,9774987.75,400250.97,10834227.25,7470394.42,3275463.49,88369.34,conventional,2017,TotalUS,11,5
1.02,6802084.11,2161037.82,2305253.24,94087.86,2241705.19,2116307.93,38597.17,86800.09,conventional,2018,California,3,18
1.18,4250394.01,740503.01,1423924.97,356791.68,1729174.35,1157601.31,485376.01,86197.03,conventional,2017,GreatLakes,7,2
0.91,5432816.58,2549452.95,1175338.87,30343.48,1677681.28,1031656.46,559976.48,86048.34,conventional,2016,Southeast,7,3
1.3,27707046.82,8810664.45,8855072.75,447291.48,9594018.14,6934368.93,2575095.84,84553.37,conventional,2016,TotalUS,10,16
0.81,4831664.77,2295315.43,1290847.05,392846.12,852656.17,663310,105317.59,84028.58,conventional,2015,SouthCentral,12,27
1.42,3357719.29,574437.85,1199617.75,327392.03,1256271.66,832554.71,340048.81,83668.14,conventional,2017,GreatLakes,8,6
0.94,35930195.92,11249198.4,12745266.73,1880231.38,10055499.41,7745105.36,2228007.91,82386.14,conventional,2016,TotalUS,3,27
1.04,6687009.44,1932162.02,2715163.6,92955.04,1946728.78,1827362.5,37434.21,81932.07,conventional,2018,California,3,25
1.13,6295529.61,2380723.98,1676629.99,116796.74,2121378.9,1992549.07,47126.97,81702.86,conventional,2018,California,3,4
1,30287853.7,9255125.2,10282925.61,541972.42,10207830.47,7709584.33,2417144.92,81101.22,conventional,2016,TotalUS,12,25
1.08,7872203.23,2851510.24,2470795.47,150595.46,2399302.06,2314634.27,3601.53,81066.26,conventional,2017,California,5,7
1.11,6488605.43,2277437.31,1750118.87,108244.33,2352804.92,2230913.33,41105.34,80786.25,conventional,2018,California,3,11
1.15,31346091.46,11337829.1,9481313.14,486187.39,10040761.83,7649502.34,2311262.99,79996.5,conventional,2016,TotalUS,9,18
1.2,4104371.46,695313.32,1385858.46,373472.43,1649727.25,1093507.57,476444.72,79774.96,conventional,2017,GreatLakes,7,9
1.19,3221650.74,607742.57,1498358.41,198307.05,917242.71,753805.95,84303.2,79133.56,conventional,2016,Midsouth,7,10
1.1,5308891.12,923002.11,1932630.68,469332.59,1983925.74,1072504.99,832296.7,79124.05,conventional,2017,GreatLakes,5,7
1.01,2580602.96,336673.7,1411808.83,254629.93,577490.5,400003.8,98401.09,79085.61,conventional,2015,GreatLakes,12,27
0.99,38049802.62,11809727.7,13856934.7,539068.39,11844071.83,9332971.74,2432259.13,78840.96,conventional,2017,TotalUS,1,8
1.57,25394902.82,9153158.54,8328241.87,417270.7,7496231.71,5494163.7,1923561.42,78506.59,conventional,2017,TotalUS,9,17
1.12,4668135.31,707122.82,1685604.76,403401.16,1872006.57,1345931,448086.41,77989.16,conventional,2017,GreatLakes,6,18
0.9,36584029.39,12879820.47,11538132.36,1666275.13,10499801.43,7808770.98,2613293.43,77737.02,conventional,2016,TotalUS,4,10
0.93,36335483.78,11134390.98,13727453.57,1773088.87,9700550.36,7248857.68,2374053.89,77638.79,conventional,2016,TotalUS,3,20
1.15,3393696.45,653109.17,1523684.65,213314.73,1003587.9,827533.73,98647.47,77406.7,conventional,2016,Midsouth,7,3
1.07,3393712.37,1757284.4,592433.27,30505.16,1013489.54,641109.21,295047.83,77332.5,conventional,2016,Southeast,6,12
0.91,4324700.33,541979.64,2165410.51,491344.53,1125965.65,774859.17,273929.8,77176.68,conventional,2016,GreatLakes,5,15
1.1,6379219.83,2086478.7,2413234.64,114573.33,1764933.16,1640897.04,47009.82,77026.3,conventional,2018,California,2,18
1.23,29615008.49,9534915.56,9123897.74,490123.01,10466072.18,7408765.9,2981275.76,76030.52,conventional,2016,TotalUS,10,2
0.87,39607695.3,12913697.19,14382184.8,1599863.98,10711949.33,7835835.83,2801102.86,75010.64,conventional,2016,TotalUS,4,24
1.03,6750361.46,2666133.31,1947660.32,110662.05,2025905.78,1908897.38,42064.35,74944.05,conventional,2018,California,2,25
1.19,5756632.36,2350838.88,1704810.36,135053.06,1565930.06,1465321.32,25951.12,74657.62,conventional,2018,California,1,7
0.88,36476441.86,11913078.3,13187973.29,1811090.71,9564299.56,7102422.27,2387455.67,74421.62,conventional,2016,TotalUS,2,14
0.98,30093540.7,9009996.11,9967220.02,403047.93,10713276.64,8149438.75,2490495.07,73342.82,conventional,2016,TotalUS,12,11
1.32,6160751.92,2307940.04,1793496.44,153502.24,1905813.2,1829396.11,3223.85,73193.24,conventional,2017,California,5,28
1,29216198.15,8828340.53,13326573.45,1614282.73,5447001.44,4153477.6,1221305.29,72218.55,conventional,2015,TotalUS,10,11
1.25,5889669.2,2197824.46,1689225.61,157508.63,1845110.5,1770413.98,2532.7,72163.82,conventional,2017,California,4,30
1.42,3654633.49,1989685.69,556375.02,3729.01,1104843.77,607668.91,425033,72141.86,conventional,2017,Southeast,8,13
0.95,3806974.62,473647.35,2043221.89,553447.22,736658.16,513809.98,150810.3,72037.88,conventional,2016,GreatLakes,1,24
1.34,5442086.44,2047142.24,1572972.43,163002.25,1658969.52,1585488.4,1756.03,71725.09,conventional,2017,California,4,16
1.22,3953699.57,741349.12,1112605.39,380229.8,1719515.26,1237310.02,410612.84,71592.4,conventional,2018,GreatLakes,3,11
1.28,3666944.13,2101935.63,442822.73,3465.07,1118720.7,612556.65,434645.54,71518.51,conventional,2017,Southeast,6,25
1.26,2940448.51,582052.07,1272165.13,137997.09,948234.22,794533.1,82513.33,71187.79,conventional,2016,Midsouth,7,17
1.2,6599048.85,2691571.96,1650089.15,191313.38,2066074.36,1989158.83,5912.72,71002.81,conventional,2017,California,6,18
0.94,42140393.39,14254150.46,14212881.66,908616.41,12764744.86,9462853.82,3231019.56,70871.48,conventional,2017,TotalUS,1,22
0.91,4563745.14,2504517.37,823705.23,26309.45,1209213.09,563930.87,574578.06,70704.16,conventional,2016,Southeast,6,5
1.33,4151016.69,2451659.18,483092.03,4402.35,1211863.13,691324.55,449983.89,70554.69,conventional,2017,Southeast,6,11
0.8,10894677.77,4473811.63,4097591.67,146357.78,2176916.69,2072477.62,34196.27,70242.8,conventional,2018,California,2,4
1.41,4486744.99,210728.65,2669362.44,123210.02,1483443.88,1330833.02,82816.01,69794.85,conventional,2016,Northeast,7,3
1.26,5637299.78,2027854.71,1521895.03,162006.91,1925543.13,1849562.53,6322.77,69657.83,conventional,2017,California,4,23
0.91,36801817.68,11907394.72,13210854.56,1560167.75,10123400.65,7251666.99,2802238.74,69494.92,conventional,2016,TotalUS,2,28
1.27,28857581.98,9552502.48,9579338.98,490956.88,9234783.64,6849126.9,2316377.99,69278.75,conventional,2016,TotalUS,10,9
1.62,24637148.38,8652381.39,8295761.93,385004.72,7304000.34,5442167.06,1792564.59,69268.69,conventional,2017,TotalUS,9,24
0.7,9010588.32,3999735.71,966589.5,30130.82,4014132.29,3398569.92,546409.74,69152.63,conventional,2018,SouthCentral,3,25
0.98,38295488.31,12936858.36,12625665.39,579346.52,12153618.04,9445622.04,2638918.48,69077.52,conventional,2017,TotalUS,1,15
1.27,5927016.73,2098762.55,2356359.93,151045.33,1320848.92,1226559.09,25390.97,68898.86,conventional,2018,California,1,14
0.98,3818114.32,372605.84,2069786.74,534051.03,841670.71,522649.1,250138.15,68883.46,conventional,2016,GreatLakes,3,6
0.98,4154218.26,441314.08,2322236.11,508030.41,882637.66,603191.07,210717.86,68728.73,conventional,2016,GreatLakes,4,17
1.17,6370622.3,2375685.35,1570244.89,134825.51,2289866.55,2216400.16,4798.87,68667.52,conventional,2017,California,5,14
1.05,31936856.18,12680252.48,12998327.25,1143364.58,5114911.87,4342839.06,703542.1,68530.71,conventional,2015,TotalUS,8,16
0.98,6718358.1,2787033.93,1781591.88,119593.17,2030139.12,1930311.89,31301.69,68525.54,conventional,2018,California,2,11
1.05,4104031.93,998859.86,1221482.58,336456.51,1547232.98,1080233.43,398603.44,68396.11,conventional,2018,GreatLakes,2,11
1.31,5208101.86,1871004.41,1577127.23,156629.51,1603340.71,1528139.92,7223.59,67977.2,conventional,2017,California,3,12
1.16,6134040.58,2254631.8,2185495.65,121090.87,1572822.26,1480527.7,24545.94,67748.62,conventional,2018,California,1,28
1.35,5599003.03,2077113.57,1627754.26,137755.31,1756379.89,1685046.63,3942.61,67390.65,conventional,2017,California,5,21
0.89,38879716.85,12707894.99,14201200.68,549844.57,11420776.61,8551133.56,2802709.32,66933.73,conventional,2017,TotalUS,1,1
1.22,6177216.24,2302944.62,1517908.04,188258.15,2168105.43,2095827.24,5598.97,66679.22,conventional,2017,California,6,11
1.33,5073070.91,1693588.76,1542979.33,138133.01,1698369.81,1629800.46,1991.84,66577.51,conventional,2017,California,3,26
1.15,3408142.71,1466379.21,813315.42,20301.82,1108146.26,705840.64,335918.68,66386.94,conventional,2016,Southeast,7,17
1.02,29569086.56,9422275.27,13846044.56,1112405.42,5188361.31,3938274.51,1183732.08,66354.72,conventional,2015,TotalUS,9,20
0.79,7399716.74,3596162.29,1104894.9,30623.35,2668036.2,2185246.31,416456.32,66333.57,conventional,2018,SouthCentral,3,4
1.43,21009730.21,7100458.82,6852046.35,453145.26,6604079.78,4655045.62,1882750.65,66283.51,conventional,2016,TotalUS,10,30
1.58,4406341.73,289590.47,2850917.36,25597.43,1240236.47,1034138.98,140035.79,66061.7,conventional,2017,Northeast,7,9
1.41,3282864.06,1799095.92,507685.74,3572.73,972509.67,569390.19,337374.62,65744.86,conventional,2017,Southeast,8,6
1,31621221.9,11043350.9,9908982.97,428009.84,10240878.19,7187022.58,2988504.98,65350.63,conventional,2016,TotalUS,12,4
0.97,28485715.97,9991330.31,12199657.4,1143214.59,5151513.67,4058500.97,1027701.97,65310.73,conventional,2015,TotalUS,11,8
1.36,3516276.38,2006796.85,518858.64,4070.44,986550.45,596733.72,324532.55,65284.18,conventional,2017,Southeast,7,16
1.47,3014558.52,557159.67,1180490.16,267511.89,1009396.8,647895.99,296531.31,64969.5,conventional,2017,GreatLakes,7,23
1.28,6499668.48,2634902.26,1818682.87,207945.39,1838137.96,1767976.83,5214.88,64946.25,conventional,2017,California,7,9
0.86,6579144.13,3289390.32,1115203.69,28384.4,2146165.72,1625982.91,455350.18,64832.63,conventional,2018,SouthCentral,3,18
1.49,3736814.35,196491.18,2123945.28,74756.02,1341621.87,1208291.71,68637.43,64692.73,conventional,2016,Northeast,7,17
1.36,3580363.85,2109070.98,533696.3,3991.94,933604.63,523093.86,346162.09,64348.68,conventional,2017,Southeast,7,23
1.03,31245835.65,9875018.48,14888077.69,1118988.92,5363750.56,4072661.53,1226810.47,64278.56,conventional,2015,TotalUS,9,13
0.76,7648478.57,3888705.13,989820.91,28149.02,2741803.51,2257193.31,420376.57,64233.63,conventional,2018,SouthCentral,2,25
1.28,6607292.61,2527123.67,1942683.02,224121.48,1913364.44,1844798.2,4337.49,64228.75,conventional,2017,California,7,2
1.65,24397166.19,8911144.2,7609509.9,391832.89,7484679.2,5444021.28,1976738.84,63919.08,conventional,2017,TotalUS,10,8
0.89,6621293.03,3309218.1,926223.64,28752.6,2357098.69,1820819.54,472662.31,63616.84,conventional,2018,SouthCentral,3,11
0.94,3898235.29,1193349.63,1530143.69,245808.96,928933.01,705848.56,159609.68,63474.77,conventional,2016,SouthCentral,1,24
0.94,34426341.87,10036597.84,13832256.04,1419405.62,9138082.37,6846324.06,2228420.91,63337.4,conventional,2016,TotalUS,1,17
0.89,28800396.57,9405464.36,12160838.62,931830.63,6302262.96,5005077.36,1233956.21,63229.39,conventional,2015,TotalUS,12,6
1.57,2971011.18,504445.27,1051826.5,264838.37,1149901.04,733843.21,352853.24,63204.59,conventional,2017,GreatLakes,8,13
1.29,30237911.23,10596902.91,9803569.58,424755.66,9412683.08,6602082.25,2747519.87,63080.96,conventional,2017,TotalUS,10,29
0.84,42867608.54,13748944.38,15899858.37,1414364.49,11804441.3,8376124.32,3365582.11,62734.87,conventional,2016,TotalUS,5,1
0.85,6195284.67,3356663.69,1079764.01,423778.7,1335078.27,964900.17,307836.87,62341.23,conventional,2016,SouthCentral,6,12
1.13,6249182.98,1926187.79,2128867.47,161909.09,2032218.63,1957058.55,13132.9,62027.18,conventional,2017,California,4,9
1.12,6610010.64,2378177.09,2590301.7,122950.68,1518581.17,1431898.88,24801.59,61880.7,conventional,2018,California,1,21
1.02,3004133.39,355508.86,1652244.4,456771.26,539608.87,384772.59,93016.17,61820.11,conventional,2015,GreatLakes,10,11
1.16,3944850.17,784915.67,952233.04,348177.94,1859523.52,1416662.42,381069.68,61791.42,conventional,2018,GreatLakes,3,18
1.64,24610645.21,8342407.59,8354516.32,384794.18,7528927.12,5513111.7,1954129.38,61686.04,conventional,2017,TotalUS,10,1
1.13,5346535.57,1934361.67,1934710.69,116855.41,1360607.8,1277612.22,21328.12,61667.46,conventional,2017,California,12,24
0.83,6351400.69,3351332.61,1281791.5,355042.24,1363234.34,976198.08,325421.53,61614.73,conventional,2016,SouthCentral,6,5
1.54,3005445.53,1702152.2,429629.31,3466.82,870197.2,513450.97,295204.62,61541.61,conventional,2017,Southeast,8,27
1.3,4392810,1734281,1354966,121946,1181616,1093008,27254,61354,conventional,2017,California,11,26
1.18,2789630.4,1044500.39,455872.03,109370.93,1179887.05,1117995.97,574.14,61316.94,conventional,2017,LosAngeles,4,16
1.01,2504745.45,383701.76,1337404.03,241580.61,542059.05,358218.65,122999.48,60840.92,conventional,2015,GreatLakes,12,20
1.03,3653376.07,414756.68,2087149.52,475383.38,676086.49,486209.97,129683.8,60192.72,conventional,2015,GreatLakes,8,16
0.87,4214313.1,1745366.17,583071.39,97893.53,1787982.01,1727340.36,488.13,60153.52,conventional,2017,LosAngeles,5,7
1.1,3646868.94,1599856.44,848789.03,29960.26,1168263.21,785436.82,322739.72,60086.67,conventional,2016,Southeast,7,10
0.98,6205211.05,1901831.08,2877209.2,115250.14,1310920.63,1229946.93,21220.86,59752.84,conventional,2017,California,12,17
